,number,model_name,slump,allStarts,bb,rb,judge
123,2124,Ｓ闘魂継承アントニオ猪木Ｌ３,-480,2537,15,4,lose
124,2125,Ｓ闘魂継承アントニオ猪木Ｌ３,-45,2668,17,6,lose
125,2126,Ｓ闘魂継承アントニオ猪木Ｌ３,362,4269,34,7,win
126,2127,政宗２／Ａ５,-856,4108,26,11,lose
127,2128,政宗２／Ａ５,-1185,6261,31,21,lose
128,2129,政宗２／Ａ５,6083,9947,117,15,win
129,2130,政宗２／Ａ５,-3939,7158,22,14,lose
130,2131,Ｓ天下布武４ＨＨ,3368,6660,55,43,win
131,2132,Ｓ天下布武４ＨＨ,1626,6034,34,51,win
132,2133,Ｓ天下布武４ＨＨ,1269,4708,28,24,win
133,2134,Ｓ天下布武４ＨＨ,-1168,4497,24,9,lose
134,2135,Ｓ天下布武４ＨＨ,-1456,7185,42,17,lose
135,2136,Ｓマジカルハロウィン７ＫＵ,-2401,3009,9,5,lose
136,2137,Ｓマジカルハロウィン７ＫＵ,891,9180,55,35,win
137,2138,Ｓマジカルハロウィン７ＫＵ,2227,6868,40,52,win
138,2139,Ｓマジカルハロウィン７ＫＵ,825,4224,15,16,win
139,2140,Ｓマジカルハロウィン７ＫＵ,491,4506,16,45,win
140,2141,Ｓルパン三世イタリアの夢Ｈ５,289,1055,4,1,win
141,2142,Ｓルパン三世イタリアの夢Ｈ５,-118,2087,6,1,lose
142,2143,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-660,1029,0,3,lose
143,2144,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-730,4776,16,3,lose
144,2145,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2571,4844,26,1,lose
145,2146,パチスロ聖闘士星矢海皇覚醒ＫＨ,-4026,6287,28,3,lose
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,-76,5537,58,3,lose
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2003,5068,25,3,lose
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,3308,3863,77,6,win
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,853,5431,65,4,win
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2352,6290,45,2,lose
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,213,6481,26,35,win
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-2480,6955,19,18,lose
