,number,model_name,slump,allStarts
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-555,552
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-25,33
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1977,3974
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-73,33
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,886,499
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1188,1689
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,0,0
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-14,33
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,0,0
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2143,1378
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,913,2442
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,0,0
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,381,775
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,56,2588
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,548,1293
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1656,824
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-618,1550
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,731,561
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-461,540
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-17,32
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2475,4172
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-24,18
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-855,5543
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,631,3992
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,797,1462
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-612,4040
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-546,625
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,682,5327
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-86,492
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1040,1359
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-950,1704
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1445,2223
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-122,2379
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-320,2074
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,487,719
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,4142,6509
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,75,1037
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1189,2803
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,525,2128
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-86,5490
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-599,679
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-57,7502
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,707,2555
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-380,392
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,3175,6909
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-501,683
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-365,1596
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,64,1786
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1310,915
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,763,5209
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,4,772
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1021,2419
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1908,4816
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-81,1172
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-682,2366
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,81,268
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2085,4321
225,2226,マイジャグラーⅣ／ＫＥ,638,5443
226,2227,マイジャグラーⅣ／ＫＥ,-1012,4019
227,2228,マイジャグラーⅣ／ＫＥ,-207,1304
228,2229,マイジャグラーⅣ／ＫＥ,-1890,7798
229,2230,マイジャグラーⅣ／ＫＥ,131,1659
230,2231,マイジャグラーⅣ／ＫＥ,-211,620
231,2232,マイジャグラーⅣ／ＫＥ,1184,5393
232,2233,マイジャグラーⅣ／ＫＥ,-916,4725
233,2234,マイジャグラーⅣ／ＫＥ,-862,2400
234,2235,マイジャグラーⅣ／ＫＥ,-1058,1346
235,2236,マイジャグラーⅣ／ＫＥ,803,4521
236,2237,マイジャグラーⅣ／ＫＥ,-748,4438
237,2238,マイジャグラーⅣ／ＫＥ,-1381,2416
238,2239,マイジャグラーⅣ／ＫＥ,-1327,2165
239,2240,マイジャグラーⅣ／ＫＥ,-1893,2855
240,2241,マイジャグラーⅣ／ＫＥ,-1399,2397
241,2242,マイジャグラーⅣ／ＫＥ,-328,3405
242,2243,マイジャグラーⅣ／ＫＥ,-2532,5727
243,2244,マイジャグラーⅣ／ＫＥ,832,6004
244,2245,マイジャグラーⅣ／ＫＥ,-73,3168
245,2246,マイジャグラーⅣ／ＫＥ,-958,4560
246,2247,マイジャグラーⅣ／ＫＥ,-794,4163
247,2248,マイジャグラーⅣ／ＫＥ,-1762,2001
248,2249,マイジャグラーⅣ／ＫＥ,-1829,3871
249,2250,マイジャグラーⅣ／ＫＥ,-716,759
250,2251,マイジャグラーⅣ／ＫＥ,868,8065
251,2252,マイジャグラーⅣ／ＫＥ,-289,962
252,2253,マイジャグラーⅣ／ＫＥ,1674,6127
253,2254,マイジャグラーⅣ／ＫＥ,-1536,2408
254,2255,マイジャグラーⅣ／ＫＥ,899,3006
255,2256,マイジャグラーⅣ／ＫＥ,-210,5206
256,2257,マイジャグラーⅣ／ＫＥ,-1487,2164
257,2258,マイジャグラーⅣ／ＫＥ,583,5695
258,2259,マイジャグラーⅣ／ＫＥ,-999,1679
259,2260,マイジャグラーⅣ／ＫＥ,-1165,3199
260,2261,マイジャグラーⅣ／ＫＥ,-806,4401
261,2262,マイジャグラーⅣ／ＫＥ,-1268,2423
262,2263,マイジャグラー３ＫＤ,547,4501
263,2264,マイジャグラー３ＫＤ,-270,855
264,2265,マイジャグラー３ＫＤ,-457,1419
265,2266,マイジャグラー３ＫＤ,-73,893
266,2267,マイジャグラー３ＫＤ,1429,5742
267,2268,マイジャグラー３ＫＤ,-438,1208
268,2269,マイジャグラー３ＫＤ,-864,2552
269,2270,ゴーゴージャグラー２／ＫＤ,372,2074
270,2271,ゴーゴージャグラー２／ＫＤ,-1032,986
271,2272,ゴーゴージャグラー２／ＫＤ,1037,7226
272,2273,ゴーゴージャグラー２／ＫＤ,1524,2830
273,2274,ゴーゴージャグラーＫＫ,208,770
274,2275,ゴーゴージャグラーＫＫ,-461,2665
275,2276,ゴーゴージャグラーＫＫ,-1029,1180
276,2277,ゴーゴージャグラーＫＫ,-258,3873
277,2278,ゴーゴージャグラーＫＫ,-922,871
278,2279,ゴーゴージャグラーＫＫ,377,4322
279,2280,ゴーゴージャグラーＫＫ,-636,336
280,2281,ゴーゴージャグラーＫＫ,-702,5818
281,2282,ゴーゴージャグラーＫＫ,995,4003
282,2283,ゴーゴージャグラーＫＫ,3,3242
283,2284,ゴーゴージャグラーＫＫ,-310,1424
284,2285,ゴーゴージャグラーＫＫ,1568,3663
285,2286,ゴーゴージャグラーＫＫ,-493,1012
286,2287,ゴーゴージャグラーＫＫ,-45,3119
287,2288,ゴーゴージャグラーＫＫ,-658,1470
288,2289,ゴーゴージャグラーＫＫ,-308,1015
289,2290,ゴーゴージャグラー２／ＫＤ,2434,7017
290,2291,ゴーゴージャグラー２／ＫＤ,286,1733
291,2292,ゴーゴージャグラー２／ＫＤ,3026,7321
292,2293,ゴーゴージャグラー２／ＫＤ,525,3076
293,2294,ゴーゴージャグラー２／ＫＤ,-437,3794
294,2295,マイジャグラー３ＫＤ,892,7091
295,2296,マイジャグラー３ＫＤ,-215,379
296,2297,マイジャグラー３ＫＤ,-1126,3528
297,2298,マイジャグラー３ＫＤ,-420,980
298,2299,マイジャグラー３ＫＤ,-69,1175
299,2300,マイジャグラーⅣ／ＫＥ,-503,1433
300,2301,マイジャグラーⅣ／ＫＥ,1422,7431
301,2302,スーパーミラクルジャグラー／ＫＵ,259,3440
302,2303,スーパーミラクルジャグラー／ＫＵ,-837,1747
303,2304,スーパーミラクルジャグラー／ＫＵ,-235,998
304,2305,スーパーミラクルジャグラー／ＫＵ,-600,2399
305,2306,スーパーミラクルジャグラー／ＫＵ,456,5230
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,1451,6056
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-893,1060
