,number,model_name,slump,allStarts,bb,rb
237,2238,マイジャグラーⅣ／ＫＥ,-144,6782,24,23
238,2239,マイジャグラーⅣ／ＫＥ,-609,2651,9,3
239,2240,マイジャグラーⅣ／ＫＥ,741,9418,34,34
240,2241,マイジャグラーⅣ／ＫＥ,-2280,3272,5,5
241,2242,マイジャグラーⅣ／ＫＥ,-66,3210,12,8
242,2243,マイジャグラーⅣ／ＫＥ,182,6092,22,16
243,2244,マイジャグラーⅣ／ＫＥ,1105,7653,31,21
244,2245,マイジャグラーⅣ／ＫＥ,-1358,5744,16,18
245,2246,マイジャグラーⅣ／ＫＥ,-985,3618,10,10
246,2247,マイジャグラーⅣ／ＫＥ,-2119,3206,6,7
247,2248,マイジャグラーⅣ／ＫＥ,-585,3533,9,16
248,2249,マイジャグラーⅣ／ＫＥ,-924,2696,7,10
249,2250,マイジャグラーⅣ／ＫＥ,593,9265,37,26
250,2251,マイジャグラーⅣ／ＫＥ,-1198,1854,3,5
251,2252,マイジャグラーⅣ／ＫＥ,-596,1129,3,1
252,2253,マイジャグラーⅣ／ＫＥ,1163,7529,31,22
253,2254,マイジャグラーⅣ／ＫＥ,-1323,3045,6,11
254,2255,マイジャグラーⅣ／ＫＥ,-1946,3737,8,8
255,2256,マイジャグラーⅣ／ＫＥ,160,6291,24,16
256,2257,マイジャグラーⅣ／ＫＥ,-1144,5198,15,14
257,2258,マイジャグラーⅣ／ＫＥ,207,3076,12,9
258,2259,マイジャグラーⅣ／ＫＥ,-443,3940,12,12
259,2260,マイジャグラーⅣ／ＫＥ,-703,6141,17,22
260,2261,マイジャグラーⅣ／ＫＥ,3032,6587,31,24
261,2262,マイジャグラーⅣ／ＫＥ,-125,3404,12,10
262,2263,マイジャグラー３ＫＤ,-889,2961,8,9
263,2264,マイジャグラー３ＫＤ,-1207,1294,1,2
264,2265,マイジャグラー３ＫＤ,-703,1227,2,3
265,2266,マイジャグラー３ＫＤ,-854,5971,20,0
266,2267,マイジャグラー３ＫＤ,-181,2373,8,0
267,2268,マイジャグラー３ＫＤ,1105,4657,22,10
268,2269,マイジャグラー３ＫＤ,-260,5253,17,17
269,2270,ゴーゴージャグラー２／ＫＤ,-747,6979,24,21
270,2271,ゴーゴージャグラー２／ＫＤ,-258,2792,11,8
271,2272,ゴーゴージャグラー２／ＫＤ,-1292,2573,7,6
272,2273,ゴーゴージャグラー２／ＫＤ,-1180,1945,4,4
273,2274,ゴーゴージャグラーＫＫ,-203,4943,20,13
274,2275,ゴーゴージャグラーＫＫ,-1948,3068,4,11
275,2276,ゴーゴージャグラーＫＫ,-283,2168,9,4
276,2277,ゴーゴージャグラーＫＫ,-687,6064,18,25
277,2278,ゴーゴージャグラーＫＫ,-399,258,0,0
278,2279,ゴーゴージャグラーＫＫ,1861,7241,34,29
279,2280,ゴーゴージャグラーＫＫ,275,5079,20,16
