,number,model_name,slump,allStarts,bb,rb,judge
337,2338,スーパーミラクルジャグラー／ＫＵ,1320,4764,22,9,win
338,2339,スーパーミラクルジャグラー／ＫＵ,697,3212,15,3,win
339,2340,スーパーミラクルジャグラー／ＫＵ,-228,6205,21,18,lose
340,2341,スーパーミラクルジャグラー／ＫＵ,-1495,4459,13,10,lose
341,2342,ディスクアップ／ＺＳ,-559,2220,6,4,lose
342,2343,ディスクアップ／ＺＳ,-521,8267,28,17,lose
343,2344,ディスクアップ／ＺＳ,-1178,2031,4,4,lose
344,2345,ディスクアップ／ＺＳ,-1936,5186,13,12,lose
345,2346,ディスクアップ／ＺＳ,763,2994,13,4,win
346,2347,ディスクアップ／ＺＳ,-889,5360,16,8,lose
347,2348,ディスクアップ／ＺＳ,-1945,1853,2,1,lose
348,2349,ディスクアップ／ＺＳ,-709,4502,12,10,lose
349,2350,ディスクアップ／ＺＳ,0,0,0,0,lose
350,2351,アレックスＡＥ,-478,934,2,2,lose
351,2352,ディスクアップ／ＺＳ,290,3397,14,3,win
352,2353,アレックスＡＥ,-1057,6309,19,15,lose
353,2354,ディスクアップ／ＺＳ,879,4146,18,4,win
354,2355,アレックスＡＥ,-466,1132,3,2,lose
355,2356,クランキーセレブレーションＣＥ,-711,2475,9,6,lose
356,2357,ニューパルサーＳＰ２／ＤＤ,-316,500,1,0,lose
357,2358,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-48,3913,14,8,lose
358,2359,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,2216,8591,32,34,win
359,2360,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,976,4849,19,12,win
360,2361,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,2451,7536,29,30,win
361,2362,リノＮＧＴＣＣ,199,522,4,3,win
362,2363,リノＮＧＴＣＣ,0,0,0,0,lose
363,2364,リノＮＧＴＣＣ,-351,694,3,2,lose
364,2365,リノＮＧＴＣＣ,382,434,4,4,win
365,2366,リノＮＧＴＣＣ,-26,597,4,2,lose
366,2367,リノＮＧＴＣＣ,-85,62,0,0,lose
367,2368,ディスクアップ／ＺＳ,5106,7852,0,18,win
368,2369,ディスクアップ／ＺＳ,-327,3377,10,7,lose
369,2370,アレックスＡＥ,2984,6984,30,27,win
370,2371,ディスクアップ／ＺＳ,-1369,1263,1,3,lose
371,2372,アレックスＡＥ,-169,4040,12,13,lose
372,2373,ディスクアップ／ＺＳ,-476,8025,26,19,lose
373,2374,ディスクアップ／ＺＳ,142,2530,10,3,win
374,2375,ディスクアップ／ＺＳ,-1401,1146,1,0,lose
375,2376,ディスクアップ／ＺＳ,-437,3541,11,8,lose
376,2377,ディスクアップ／ＺＳ,-36,1044,3,1,lose
377,2378,ディスクアップ／ＺＳ,2572,7157,31,14,win
378,2379,ディスクアップ／ＺＳ,-1327,1223,2,0,lose
379,2380,ディスクアップ／ＺＳ,5,1298,5,1,win
380,2381,ディスクアップ／ＺＳ,-687,6373,17,20,lose
381,2382,ハナビＢＨＳ２,-1954,2929,4,6,lose
382,2383,ハナビＢＨＳ２,2129,7608,29,20,win
383,2384,ハナビＢＨＳ２,1537,8115,28,22,win
384,2385,ハナビＢＨＳ２,-1426,2425,5,3,lose
385,2386,ハナビＢＨＳ２,1501,5940,22,14,win
386,2387,バーサスＳＥ,1191,5463,20,14,win
387,2388,バーサスＳＥ,-542,1976,5,6,lose
388,2389,バーサスＳＥ,1086,7386,28,17,win
389,2390,バーサスＳＥ,646,6834,25,21,win
390,2391,バーサスＳＥ,-488,808,2,1,lose
391,2392,Ｓ麻雀格闘倶楽部３ＫＲ,402,994,7,4,win
392,2393,Ｓ喰霊零　運命乱ＪＪ,1155,4648,72,69,win
393,2394,Ｓトータル・イクリプス２Ｒ,-784,1133,0,3,lose
394,2395,パチスロ黒神／Ｋ２,-489,658,4,1,lose
395,2396,ＳＡＴ天元突破グレンラガンＹ,-788,1174,0,1,lose
396,2397,ＳミルキィホームズＮＤ,1056,2254,19,3,win
397,2398,バイオイントゥザパニック／ＺＡ,2866,5121,25,28,win
398,2399,パチスロマッハＧｏＧｏＧｏ　Ａ,-343,3356,9,0,lose
399,2400,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,1244,8612,30,14,win
400,2401,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,3527,7967,33,0,win
401,2402,３×３ＥＹＥＳ／Ａ７,1856,8064,11,76,win
402,2403,ダンまち／ＫＴ,2773,6728,49,118,win
403,2404,ダンまち／ＫＴ,-104,2748,18,24,lose
404,2405,Ｓ　ＰＹＲＡＭＩＤ　ＥＹＥ　Ａ２,-118,754,10,5,lose
405,2406,ＳＬＯＴ魔法少女まどか☆マギカＡＭＡ,0,0,0,0,lose
406,2407,Ｓパチスロ鉄拳４ＣＣ,324,1895,12,4,win
407,2408,Ｓ呪怨　再誕ＡＴ　ＦＣ,2311,3253,34,0,win
408,2409,Ｓ／ドンちゃん２／ＤＣ,1540,7356,28,27,win
409,2410,Ｓ／ドンちゃん２／ＤＣ,337,4186,11,16,win
410,2411,Ｓ／ドンちゃん２／ＤＣ,2728,6264,26,26,win
411,2412,Ｓ／ドンちゃん２／ＤＣ,1214,7575,28,22,win
412,2413,ハナビ２ＨＡ,629,7306,25,18,win
413,2414,ハナビ２ＨＡ,-523,627,1,1,lose
414,2415,ハナビ２ＨＡ,-705,1521,3,5,lose
415,2416,ハナビ２ＨＡ,-693,7662,21,18,lose
416,2417,ハナビＢＨＳ２,616,4933,18,10,win
417,2418,ハナビＢＨＳ２,-1112,5854,16,11,lose
418,2419,ハナビＢＨＳ２,223,4928,9,17,win
419,2420,ハナビＢＨＳ２,169,3505,12,8,win
420,2421,ハナビＢＨＳ２,1468,8157,29,21,win
421,2422,沖ドキ！ＬＬ,859,2507,25,10,win
422,2423,沖ドキ！ＬＬ,930,3850,39,9,win
423,2424,沖ドキ！ＬＬ,2718,1884,26,13,win
424,2425,沖ドキ！ＬＬ,-2124,2485,9,14,lose
425,2426,沖ドキ！ＬＬ,320,3048,29,7,win
426,2427,沖ドキ！ＬＬ,-2721,1849,3,7,lose
427,2428,沖ドキ！ＬＬ,-3259,3885,20,10,lose
428,2429,沖ドキ！ＬＬ,-4178,2516,4,5,lose
429,2430,沖ドキ！ＬＬ,-3242,2209,7,1,lose
430,2431,ミリオンゴッド－神々の凱旋－ＢＤ,367,1906,14,0,win
431,2432,ミリオンゴッド－神々の凱旋－ＢＤ,-2176,2723,0,0,lose
432,2433,ミリオンゴッド－神々の凱旋－ＢＤ,2875,4395,40,0,win
433,2434,ミリオンゴッド－神々の凱旋－ＢＤ,1025,462,7,0,win
434,2435,ミリオンゴッド－神々の凱旋－ＢＤ,191,2203,15,0,win
435,2436,ミリオンゴッド－神々の凱旋－ＢＤ,2590,6475,2,1,win
436,2437,ミリオンゴッド－神々の凱旋－ＢＤ,-474,349,1,0,lose
437,2438,ミリオンゴッド－神々の凱旋－ＢＤ,8362,6136,0,2,win
438,2439,ミリオンゴッド－神々の凱旋－ＢＤ,1795,2801,12,1,win
439,2440,ミリオンゴッド－神々の凱旋－ＢＤ,-2869,4513,23,0,lose
440,2441,ミリオンゴッド－神々の凱旋－ＢＤ,1210,669,9,1,win
441,2442,ミリオンゴッド－神々の凱旋－ＢＤ,-606,2671,18,0,lose
442,2443,ミリオンゴッド－神々の凱旋－ＢＤ,2854,3878,36,0,win
443,2444,ミリオンゴッド－神々の凱旋－ＢＤ,1434,1290,14,0,win
444,2445,ミリオンゴッド－神々の凱旋－ＢＤ,-1464,1337,4,0,lose
445,2446,ミリオンゴッド－神々の凱旋－ＢＤ,2210,1140,15,2,win
446,2447,ミリオンゴッド－神々の凱旋－ＢＤ,-2253,1734,4,0,lose
447,2448,ミリオンゴッド－神々の凱旋－ＢＤ,-764,1723,10,0,lose
448,2449,ミリオンゴッド－神々の凱旋－ＢＤ,1530,1174,11,0,win
449,2450,ミリオンゴッド－神々の凱旋－ＢＤ,-899,4252,23,0,lose
450,2451,ミリオンゴッド－神々の凱旋－ＢＤ,3231,1485,21,1,win
451,2452,ミリオンゴッド－神々の凱旋－ＢＤ,-1148,1648,8,0,lose
452,2453,ミリオンゴッド－神々の凱旋－ＢＤ,-1992,5212,29,2,lose
453,2454,ミリオンゴッド－神々の凱旋－ＢＤ,-1361,851,1,0,lose
454,2455,ミリオンゴッド－神々の凱旋－ＢＤ,4175,3218,38,1,win
455,2456,ミリオンゴッド－神々の凱旋－ＢＤ,-2064,1736,5,0,lose
456,2457,ミリオンゴッド－神々の凱旋－ＢＤ,1011,1672,15,1,win
457,2458,ミリオンゴッド－神々の凱旋－ＢＤ,-443,3225,22,1,lose
458,2459,ミリオンゴッド－神々の凱旋－ＢＤ,-2711,2861,0,0,lose
459,2460,ミリオンゴッド－神々の凱旋－ＢＤ,4045,2462,29,0,win
460,2461,ミリオンゴッド－神々の凱旋－ＢＤ,-2646,5366,0,0,lose
461,2462,ミリオンゴッド－神々の凱旋－ＢＤ,1407,1155,13,0,win
462,2463,ミリオンゴッド－神々の凱旋－ＢＤ,9192,2470,48,2,win
463,2464,ミリオンゴッド－神々の凱旋－ＢＤ,-538,1165,6,0,lose
464,2465,ミリオンゴッド－神々の凱旋－ＢＤ,5621,3054,22,0,win
465,2466,ミリオンゴッド－神々の凱旋－ＢＤ,-3796,3198,0,0,lose
466,2467,ミリオンゴッド－神々の凱旋－ＢＤ,-2337,3241,15,0,lose
467,2468,ミリオンゴッド－神々の凱旋－ＢＤ,-2252,1883,5,0,lose
468,2469,ミリオンゴッド－神々の凱旋－ＢＤ,1364,1299,14,0,win
469,2470,沖ドキ！トロピカルＨＨ,-343,2284,8,8,lose
470,2471,沖ドキ！ＬＬ,-704,1306,9,4,lose
471,2472,沖ドキ！ＬＬ,-1841,3271,19,12,lose
472,2473,沖ドキ！ＬＬ,4137,3494,51,11,win
473,2474,沖ドキ！ＬＬ,-4862,2800,3,5,lose
474,2475,沖ドキ！ＬＬ,683,3235,32,9,win
475,2476,沖ドキ！ＬＬ,-739,3259,27,6,lose
476,2477,沖ドキ！ＬＬ,-1842,2803,18,4,lose
477,2478,沖ドキ！ＬＬ,-3848,2628,7,4,lose
478,2479,沖ドキ！ＬＬ,880,4609,42,18,win
479,2480,押忍！サラリーマン番長Ａ９,-1168,5852,28,7,lose
480,2481,押忍！サラリーマン番長Ａ９,-2225,4475,11,7,lose
481,2482,押忍！サラリーマン番長Ａ９,-1040,6721,28,7,lose
482,2483,押忍！サラリーマン番長Ａ９,5137,7538,29,12,win
483,2484,押忍！サラリーマン番長Ａ９,3570,5775,30,8,win
484,2485,押忍！番長３／Ａ５,-297,3141,35,2,lose
485,2486,押忍！番長３／Ａ５,-1056,4114,21,3,lose
486,2487,押忍！番長３／Ａ５,-1434,1320,2,1,lose
487,2488,押忍！番長３／Ａ５,-591,3979,39,5,lose
488,2489,押忍！番長３／Ａ５,-501,3531,32,8,lose
489,2490,押忍！番長３／Ａ５,198,6567,0,8,win
490,2491,押忍！番長３／Ａ５,-1709,2449,3,0,lose
491,2492,押忍！番長３／Ａ５,3835,3484,74,14,win
492,2493,押忍！番長３／Ａ５,7673,2903,101,15,win
493,2494,押忍！番長３／Ａ５,-1676,3424,22,1,lose
494,2495,押忍！番長３／Ａ５,-940,3091,22,4,lose
495,2496,押忍！番長３／Ａ５,-1076,1387,4,0,lose
496,2497,押忍！番長３／Ａ５,927,4272,50,14,win
497,2498,押忍！番長３／Ａ５,370,4326,51,6,win
498,2499,押忍！番長３／Ａ５,-1288,1575,5,0,lose
499,2500,押忍！番長３／Ａ５,1989,3648,65,6,win
500,2501,押忍！番長３／Ａ５,1525,3679,52,14,win
501,2502,押忍！番長３／Ａ５,-43,4369,44,7,lose
502,2503,押忍！番長３／Ａ５,1632,4984,71,11,win
503,2504,押忍！番長３／Ａ５,4579,3131,76,13,win
504,2505,押忍！番長３／Ａ５,1576,4081,51,13,win
505,2506,Ｓアメリカン番長　ＨＥＹ！鏡Ｂ２,-872,3060,9,8,lose
506,2507,Ｓアメリカン番長　ＨＥＹ！鏡Ｂ２,-660,5849,0,10,lose
507,2508,押忍！番長３／Ａ５,-916,4999,1,4,lose
508,2509,押忍！番長３／Ａ５,-1325,1506,3,0,lose
509,2510,押忍！番長３／Ａ５,1317,4378,60,10,win
510,2511,押忍！番長３／Ａ５,-1388,2191,9,2,lose
511,2512,押忍！番長３／Ａ５,13,4567,45,9,win
512,2513,押忍！番長３／Ａ５,3890,8154,9,14,win
513,2514,押忍！番長３／Ａ５,2684,3213,62,11,win
514,2515,押忍！番長３／Ａ５,-1466,3252,0,1,lose
515,2516,押忍！番長３／Ａ５,60,3238,36,5,win
516,2517,押忍！番長３／Ａ５,-3013,3657,12,0,lose
517,2518,押忍！番長３／Ａ５,-1527,1620,0,0,lose
518,2519,押忍！番長３／Ａ５,6206,2889,88,14,win
519,2520,押忍！サラリーマン番長Ａ９,0,0,0,0,lose
520,2521,押忍！サラリーマン番長Ａ９,0,0,0,0,lose
521,2522,押忍！サラリーマン番長Ａ９,-450,4572,14,0,lose
522,2523,押忍！サラリーマン番長Ａ９,-2738,5259,18,5,lose
523,2524,押忍！サラリーマン番長Ａ９,-1551,6198,22,11,lose
524,2525,押忍！サラリーマン番長Ａ９,-243,6743,22,15,lose
525,2526,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-715,2655,12,4,lose
526,2527,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,633,4067,24,16,win
527,2528,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1772,3700,16,8,lose
528,2529,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,1338,3651,29,11,win
529,2530,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2170,5783,30,19,lose
530,2531,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1653,1799,6,3,lose
531,2532,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,1530,4575,33,12,win
532,2533,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,3901,3655,29,12,win
533,2534,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-3673,5230,22,3,lose
534,2535,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2493,3621,14,6,lose
535,2536,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,7170,2966,38,13,win
536,2537,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2623,4735,20,1,lose
537,2538,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2437,4206,16,6,lose
538,2539,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,1499,4141,31,15,win
539,2540,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-381,2365,9,6,lose
540,2541,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-889,3593,15,8,lose
541,2542,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1731,1891,6,2,lose
542,2543,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,0,0,0,0,lose
543,2544,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,546,4147,25,11,win
544,2545,Ｓ／叛逆の物語／ＦＨ,1011,5464,36,14,win
545,2546,Ｓ／叛逆の物語／ＦＨ,-1288,6265,26,11,lose
546,2547,Ｓ／叛逆の物語／ＦＨ,1537,4137,27,7,win
547,2548,Ｓ／叛逆の物語／ＦＨ,604,3563,19,5,win
548,2549,Ｓ／叛逆の物語／ＦＨ,1866,5431,42,16,win
549,2550,Ｓ／叛逆の物語／ＦＨ,775,5360,27,16,win
550,2551,Ｓ／叛逆の物語／ＦＨ,-1341,5330,23,6,lose
551,2552,Ｓ／叛逆の物語／ＦＨ,1918,4694,24,9,win
552,2553,Ｓ／叛逆の物語／ＦＨ,1194,6208,38,19,win
553,2554,Ｓ／叛逆の物語／ＦＨ,-728,3721,18,7,lose
554,2555,Ｓ／叛逆の物語／ＦＨ,-1047,6547,40,15,lose
555,2556,Ｓ／叛逆の物語／ＦＨ,274,5518,31,14,win
556,2557,Ｓ／叛逆の物語／ＦＨ,-292,5547,30,15,lose
557,2558,Ｓ／叛逆の物語／ＦＨ,592,6008,37,16,win
558,2559,Ｓ／叛逆の物語／ＦＨ,1762,6604,37,19,win
559,2560,Ｓ／叛逆の物語／ＦＨ,1138,6843,42,20,win
